educ,economycode,pop_adult,wgt,female,age,inc_q,emp_in,urbanicity,account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,pay_utilities,fin19,fin22a,fin24a,fin24c,fh2a,fh1,fh2,fin37,fin38,fin42,internet_use,con1,Income group
3.0,UZB,24646062,0.68203625079727,1,65,1.0,2.0,2.0,1,0.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1,Lower middle income
1.0,KEN,34616135,1.17352396737074,1,25,4.0,2.0,1.0,1,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,LAO,5322750,0.732442509448795,2,70,2.0,1.0,1.0,1,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,1,Lower middle income
2.0,TUN,9219268,1.18219019247637,2,20,5.0,1.0,1.0,1,1.0,0.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,NAM,1858089,1.59915486348746,1,20,2.0,2.0,1.0,1,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,MAR,27893979,1.15883708379202,2,44,3.0,1.0,2.0,1,1.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Lower middle income
2.0,AZE,7885113,1.35716680719532,1,17,2.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,IND,1077731602,1.24292164441994,1,40,2.0,2.0,2.0,1,0.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Lower middle income
3.0,CHN,1176678702,0.652525936510415,1,26,4.0,,,1,0.0,1.0,,,,,1.0,2.0,3.0,2.0,,,,,,,1,1,Upper middle income
1.0,NIC,4830854,1.43606920365293,1,32,2.0,1.0,1.0,0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Lower middle income
3.0,TUN,9219268,1.22045445973875,1,30,5.0,2.0,2.0,0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,KHM,12177453,0.669095631852466,1,53,2.0,1.0,1.0,0,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,2,Lower middle income
3.0,PRY,4874331,0.993371973594572,1,50,3.0,1.0,1.0,1,1.0,0.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,NER,13873697,0.684057019514135,1,32,5.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2,Low income
3.0,AZE,7885113,0.707469699680759,1,41,2.0,1.0,1.0,1,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1,1,Upper middle income
2.0,PHL,82023644,0.294392221260328,1,38,3.0,1.0,2.0,1,1.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1,1,Upper middle income
2.0,SLE,5200533,1.07600669125943,2,18,2.0,2.0,1.0,1,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0,1,Low income
1.0,DZA,32019804,0.513988224843414,2,50,1.0,1.0,1.0,0,0.0,0.0,,,,,2.0,2.0,2.0,2.0,,,,,,,1,1,Upper middle income
1.0,KAZ,14324777,1.61351958949662,1,25,5.0,2.0,1.0,1,0.0,0.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
2.0,ZMB,12029200,0.30856514498007,1,31,2.0,1.0,1.0,1,0.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Lower middle income
2.0,BOL,8553476,0.473198204504581,1,33,3.0,2.0,1.0,1,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,CHN,1176678702,0.488228971087702,2,40,4.0,,2.0,1,0.0,1.0,,,,,1.0,2.0,1.0,2.0,,,,,,,1,1,Upper middle income
1.0,TJK,6596875,0.519379712500665,1,84,4.0,2.0,1.0,1,0.0,0.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0,2,Lower middle income
2.0,NIC,4830854,2.73371162643649,1,20,4.0,1.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,CHN,1176678702,0.108604451765047,1,20,3.0,,2.0,1,0.0,1.0,,,,,2.0,2.0,3.0,2.0,,,,,,,1,1,Upper middle income
2.0,XKX,1382360,0.556593497462368,1,26,3.0,2.0,1.0,1,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1,1,Upper middle income
2.0,NGA,133329232,1.27429298740356,2,20,5.0,2.0,2.0,1,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,1,Lower middle income
2.0,CMR,16524096,1.33288756372923,2,23,5.0,1.0,2.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,MNE,503215,1.0220953327578,1,50,2.0,2.0,2.0,1,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,IND,1077731602,0.65924949813795,2,80,5.0,2.0,1.0,1,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0,1,Lower middle income
1.0,IND,1077731602,0.787930346424869,1,42,3.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2,Lower middle income
3.0,LBN,4231057,1.07284445179762,2,29,4.0,1.0,2.0,0,0.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,MEX,97411242,0.871942976971532,1,80,2.0,2.0,2.0,1,1.0,0.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1,1,Upper middle income
1.0,JOR,7867178,0.409343650833735,1,79,5.0,2.0,2.0,0,0.0,0.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0,2,Upper middle income
2.0,MLI,12725942,0.138282053703349,2,27,5.0,2.0,2.0,1,1.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Low income
1.0,GMB,1598990,0.609211624834282,2,35,1.0,2.0,1.0,0,1.0,0.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1,1,Low income
1.0,BRA,169047814,0.424874476627957,1,22,2.0,2.0,2.0,1,1.0,0.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1,Upper middle income
3.0,CHN,1176678702,1.29877532421532,2,37,3.0,,2.0,1,1.0,1.0,,,,,1.0,2.0,3.0,2.0,,,,,,,1,1,Upper middle income
1.0,ARG,35433130,1.02875935131742,1,61,2.0,1.0,2.0,1,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0,2,Upper middle income
1.0,CHN,1176678702,0.617378833932209,2,33,1.0,,1.0,1,1.0,1.0,,,,,2.0,2.0,2.0,2.0,,,,,,,1,1,Upper middle income
1.0,DOM,8281568,1.79774300565585,1,29,2.0,1.0,2.0,1,1.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,MEX,97411242,1.42643973534842,1,32,2.0,2.0,1.0,0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
3.0,BGD,122837439,1.25459295249783,2,34,5.0,2.0,2.0,1,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,TGO,5593530,0.747570106788372,1,24,1.0,1.0,1.0,1,1.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,CHN,1176678702,0.104357538488275,1,47,4.0,,2.0,1,0.0,1.0,,,,,1.0,2.0,3.0,2.0,,,,,,,1,1,Upper middle income
2.0,UZB,24646062,0.947629642335081,1,21,5.0,2.0,1.0,1,1.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,LBN,4231057,1.52791997633194,2,18,3.0,1.0,1.0,0,1.0,0.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,MRT,2860979,0.248251263570516,1,25,4.0,2.0,1.0,0,1.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,TZA,38155970,1.87172888699412,2,18,1.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,2,Lower middle income
2.0,MYS,27297352,2.6454854513439,2,60,1.0,2.0,2.0,1,1.0,0.0,4.0,1.0,4.0,4.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0,1,Upper middle income
2.0,GAB,1573811,0.808977103780029,2,22,2.0,2.0,1.0,0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2,Upper middle income
